Regions,Transcription Factors,Properties
seq590_[chr15:93905528-93905698],ZIC5_Fimo_hg19_1,Induction/activity_at_TP_72h
seq590_[chr15:93905528-93905698],HOMEZ_Fimo_hg19_1,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_ATACseq_cluster_3
seq590_[chr15:93905528-93905698],,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_RNAseq_cluster_4
seq590_[chr15:93905528-93905698],,Induction/activity_at_TP_48h
seq270_[chr11:25601079-25601249],SOX9_Fimo_hg19_27,Induction/activity_at_TP_72h
seq270_[chr11:25601079-25601249],NFAT_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_ATACseq_cluster_5
seq270_[chr11:25601079-25601249],SOX10_Fimo_ENCODE_8,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_K27ac_cluster_1
seq270_[chr11:25601079-25601249],SOX2_Fimo_ENCODE_1,Induction/activity_at_TP_48h
seq270_[chr11:25601079-25601249],,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_RNAseq_cluster_4
seq1505_[chr8:72836323-72836493],EP300_Fimo_ENCODE_5,Induction/activity_at_TP_72h
seq1505_[chr8:72836323-72836493],BCL11B_Fimo_hg19_1,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_RNAseq_cluster_2
seq1505_[chr8:72836323-72836493],ATF3_Fimo_hg19_1,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_ATACseq_cluster_5
seq1505_[chr8:72836323-72836493],,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_K27ac_cluster_2
seq1505_[chr8:72836323-72836493],,Induction/activity_at_TP_48h
seq231_[chr10:123339836-123340006],SOX1_Fimo_hg19_3,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_ATACseq_cluster_1
seq231_[chr10:123339836-123340006],TCF7L2_Fimo_ENCODE_4,Induction/activity_at_TP_72h
seq231_[chr10:123339836-123340006],MEIS2_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_RNAseq_cluster_4
seq231_[chr10:123339836-123340006],SNAI3_Fimo_hg19_1,pathway_hsa04010
seq231_[chr10:123339836-123340006],BCL11B_Fimo_hg19_1,Induction/activity_at_TP_48h
seq231_[chr10:123339836-123340006],FOXB1_Fimo_ENCODE_4,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_K27ac_cluster_3
seq231_[chr10:123339836-123340006],PKNOX2_Fimo_hg19_5,
seq231_[chr10:123339836-123340006],OTX1_Fimo_ENCODE_2,
seq2249_[chr12:57914375-57914545],ZIC3_Fimo_ENCODE_3,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_ATACseq_cluster_2
seq2249_[chr12:57914375-57914545],YY2_Fimo_hg19_9,Induction/activity_at_TP_72h
seq2249_[chr12:57914375-57914545],POU3F1_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_RNAseq_cluster_2
seq2249_[chr12:57914375-57914545],MYC_Fimo_ENCODE_5,pathway_hsa04010
seq2249_[chr12:57914375-57914545],YY2_Fimo_hg19_10,Induction/activity_at_TP_48h
seq2249_[chr12:57914375-57914545],REST_Fimo_ENCODE_9,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_K27ac_cluster_2
seq2249_[chr12:57914375-57914545],POU3F2_Fimo_ENCODE_6,
seq2249_[chr12:57914375-57914545],TCF12_Fimo_ENCODE_7,
seq626_[chr16:52299381-52299551],EP300_Fimo_ENCODE_5,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_ATACseq_cluster_1
seq626_[chr16:52299381-52299551],MYC_Fimo_ENCODE_9,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_3
seq626_[chr16:52299381-52299551],IRX3_Fimo_hg19_7,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_RNAseq_cluster_3
seq626_[chr16:52299381-52299551],,Induction/activity_at_TP_6h
seq626_[chr16:52299381-52299551],,Induction/activity_at_TP_0h
seq626_[chr16:52299381-52299551],,Induction/activity_at_TP_12h
seq626_[chr16:52299381-52299551],,Induction/activity_at_TP_3h
seq825_[chr2:17721823-17721993],EP300_Fimo_ENCODE_5,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_RNAseq_cluster_4
seq825_[chr2:17721823-17721993],SP8_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_K27ac_cluster_2
seq825_[chr2:17721823-17721993],SRF_Fimo_hg19_17,Induction/activity_at_TP_48h
seq825_[chr2:17721823-17721993],,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_ATACseq_cluster_1
seq825_[chr2:17721823-17721993],,Induction/activity_at_TP_24h
seq2001_[chr7:29596496-29596666],ZIC3_Fimo_ENCODE_3,Induction/activity_at_TP_72h
seq2001_[chr7:29596496-29596666],MYC_Fimo_ENCODE_9,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_K27ac_cluster_5
seq2001_[chr7:29596496-29596666],NR2F2_Fimo_hg19_22,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_ATACseq_cluster_5
seq2001_[chr7:29596496-29596666],ELF1_Fimo_hg19_7,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_RNAseq_cluster_1
seq2001_[chr7:29596496-29596666],TFAP2_Fimo_ENCODE_4,Induction/activity_at_TP_48h
seq2001_[chr7:29596496-29596666],REST_Fimo_ENCODE_8,
seq2001_[chr7:29596496-29596666],RXRA_Fimo_ENCODE_2,
seq2001_[chr7:29596496-29596666],TFAP2_Fimo_ENCODE_10,
seq2001_[chr7:29596496-29596666],BHLHE40_Fimo_hg19_2,
seq2001_[chr7:29596496-29596666],SP8_Fimo_ENCODE_1,
seq2001_[chr7:29596496-29596666],TFCP2L1_Fimo_ENCODE_1,
seq2001_[chr7:29596496-29596666],REST_Fimo_ENCODE_9,
seq2001_[chr7:29596496-29596666],CR936877.3_Fimo_hg19_22,
seq2001_[chr7:29596496-29596666],HIF1A_Fimo_ENCODE_1,
seq2001_[chr7:29596496-29596666],HIF1A_Fimo_ENCODE_2,
seq2001_[chr7:29596496-29596666],TCF12_Fimo_ENCODE_5,
seq2001_[chr7:29596496-29596666],ZIC2_Fimo_ENCODE_2,
seq2001_[chr7:29596496-29596666],ZIC5_Fimo_hg19_1,
seq2001_[chr7:29596496-29596666],PRDM4_Fimo_ENCODE_1,
controls_seq157_[chr9:110857575-110857745],MYC_Fimo_ENCODE_9,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_5
controls_seq157_[chr9:110857575-110857745],NFE2L2_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_ATACseq_cluster_3
controls_seq157_[chr9:110857575-110857745],USF2_Fimo_hg19_2,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_RNAseq_cluster_2
controls_seq157_[chr9:110857575-110857745],USF1_Fimo_hg19_9,Induction/activity_at_TP_12h
controls_seq157_[chr9:110857575-110857745],ELF1_Fimo_hg19_7,Induction/activity_at_TP_48h
controls_seq157_[chr9:110857575-110857745],E2F4_Fimo_hg19_3,Induction/activity_at_TP_24h
controls_seq157_[chr9:110857575-110857745],E2F4_Fimo_hg19_6,
controls_seq157_[chr9:110857575-110857745],BHLHE40_Fimo_hg19_2,
controls_seq157_[chr9:110857575-110857745],ETV5_Fimo_hg19_31,
controls_seq157_[chr9:110857575-110857745],HIF1A_Fimo_ENCODE_2,
seq317_[chr11:94964592-94964762],ZIC3_Fimo_ENCODE_3,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_4
seq317_[chr11:94964592-94964762],EP300_Fimo_ENCODE_5,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_ATACseq_cluster_3
seq317_[chr11:94964592-94964762],HHEX_Fimo_hg19_1,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_RNAseq_cluster_3
seq317_[chr11:94964592-94964762],ZIC5_Fimo_hg19_1,Induction/activity_at_TP_12h
seq317_[chr11:94964592-94964762],RXRA_Fimo_ENCODE_2,Induction/activity_at_TP_48h
seq317_[chr11:94964592-94964762],PRDM4_Fimo_ENCODE_1,Induction/activity_at_TP_24h
seq193_[chr10:69621993-69622163],TCF12_Fimo_ENCODE_5,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_3
seq193_[chr10:69621993-69622163],POU3F1_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_ATACseq_cluster_1
seq193_[chr10:69621993-69622163],LMX1A_Fimo_hg19_1,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_RNAseq_cluster_3
seq193_[chr10:69621993-69622163],REST_Fimo_ENCODE_8,Induction/activity_at_TP_12h
seq193_[chr10:69621993-69622163],LHX5_Fimo_ENCODE_1,Induction/activity_at_TP_48h
seq193_[chr10:69621993-69622163],OTX2_Fimo_ENCODE_1,Induction/activity_at_TP_24h
seq193_[chr10:69621993-69622163],DMBX1_Fimo_hg19_10,
seq193_[chr10:69621993-69622163],POU3F2_Fimo_ENCODE_6,
seq2220_[chr1:155804391-155804561],EP300_Fimo_ENCODE_5,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_5
seq2220_[chr1:155804391-155804561],IRX3_Fimo_hg19_7,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_ATACseq_cluster_2
seq2220_[chr1:155804391-155804561],FOXB1_Fimo_ENCODE_4,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_RNAseq_cluster_4
seq2220_[chr1:155804391-155804561],SOX1_Fimo_hg19_3,Induction/activity_at_TP_12h
seq2220_[chr1:155804391-155804561],SOX2_Fimo_ENCODE_1,Induction/activity_at_TP_48h
seq2220_[chr1:155804391-155804561],,Induction/activity_at_TP_24h
seq464_[chr13:79232505-79232675],OTX1_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_K27ac_cluster_4
seq464_[chr13:79232505-79232675],MEIS2_Fimo_ENCODE_2,Induction/activity_at_TP_72h
seq464_[chr13:79232505-79232675],MEIS3_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_RNAseq_cluster_3
seq464_[chr13:79232505-79232675],GLI2_Fimo_ENCODE_1,Induction/activity_at_TP_48h
seq464_[chr13:79232505-79232675],,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_ATACseq_cluster_1
seq1339_[chr6:86379630-86379800],ETV5_Fimo_hg19_31,Induction/activity_at_TP_72h
seq1339_[chr6:86379630-86379800],BCL11B_Fimo_hg19_1,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_ATACseq_cluster_1
seq1339_[chr6:86379630-86379800],SP8_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_RNAseq_cluster_1
seq1339_[chr6:86379630-86379800],TCF12_Fimo_ENCODE_5,Induction/activity_at_TP_48h
seq1339_[chr6:86379630-86379800],PRDM4_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_K27ac_cluster_2
seq194_[chr10:69913462-69913632],REST_Fimo_ENCODE_9,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_2
seq194_[chr10:69913462-69913632],PRDM4_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_ATACseq_cluster_2
seq194_[chr10:69913462-69913632],TCF12_Fimo_ENCODE_5,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_RNAseq_cluster_2
seq194_[chr10:69913462-69913632],E2F4_Fimo_hg19_6,Induction/activity_at_TP_12h
seq194_[chr10:69913462-69913632],GLIS2_Fimo_ENCODE_1,Induction/activity_at_TP_48h
seq194_[chr10:69913462-69913632],,Induction/activity_at_TP_24h
seq1163_[chr4:91119425-91119595],SOX2_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_ATACseq_cluster_5
seq1163_[chr4:91119425-91119595],POU3F1_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_2
seq1163_[chr4:91119425-91119595],NFAT_Fimo_ENCODE_2,Induction/activity_at_TP_6h
seq1163_[chr4:91119425-91119595],IRX3_Fimo_hg19_7,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_RNAseq_cluster_1
seq1163_[chr4:91119425-91119595],CR936877.3_Fimo_hg19_22,Induction/activity_at_TP_0h
seq1163_[chr4:91119425-91119595],GLI1_Fimo_hg19_11,Induction/activity_at_TP_12h
seq1163_[chr4:91119425-91119595],POU3F2_Fimo_ENCODE_6,Induction/activity_at_TP_3h
seq2139_[chr6:98973889-98974059],TCF7L2_Fimo_ENCODE_4,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_ATACseq_cluster_3
seq2139_[chr6:98973889-98974059],ZIC3_Fimo_ENCODE_3,hand_picked_TFs
seq2139_[chr6:98973889-98974059],GLI1_Fimo_hg19_3,Induction/activity_at_TP_72h
seq2139_[chr6:98973889-98974059],GLI1_Fimo_hg19_11,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_RNAseq_cluster_4
seq2139_[chr6:98973889-98974059],GLI2_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_K27ac_cluster_5
seq2139_[chr6:98973889-98974059],,Induction/activity_at_TP_48h
seq2272_[chr2:211627649-211627819],ZIC3_Fimo_ENCODE_3,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_ATACseq_cluster_1
seq2272_[chr2:211627649-211627819],MYC_Fimo_ENCODE_9,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_RNAseq_cluster_4
seq2272_[chr2:211627649-211627819],E2F4_Fimo_hg19_3,Induction/activity_at_TP_6h
seq2272_[chr2:211627649-211627819],BHLHE40_Fimo_hg19_2,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_3
seq2272_[chr2:211627649-211627819],MZF1_Fimo_ENCODE_1,Induction/activity_at_TP_0h
seq2272_[chr2:211627649-211627819],BARHL1_Fimo_ENCODE_3,Induction/activity_at_TP_12h
seq2272_[chr2:211627649-211627819],USF1_Fimo_hg19_9,Induction/activity_at_TP_3h
seq2272_[chr2:211627649-211627819],SP8_Fimo_ENCODE_1,
seq2272_[chr2:211627649-211627819],TCF12_Fimo_ENCODE_7,
seq2272_[chr2:211627649-211627819],RXRA_Fimo_ENCODE_2,
seq2272_[chr2:211627649-211627819],REST_Fimo_ENCODE_9,
seq2272_[chr2:211627649-211627819],HIF1A_Fimo_ENCODE_1,
seq2272_[chr2:211627649-211627819],HIF1A_Fimo_ENCODE_2,
seq2272_[chr2:211627649-211627819],TCF12_Fimo_ENCODE_5,
seq2272_[chr2:211627649-211627819],ZIC5_Fimo_hg19_1,
seq2272_[chr2:211627649-211627819],PTEN_Fimo_ENCODE_1,
controls_seq49_[chr21:34291162-34291332],OTX1_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_ATACseq_cluster_5
controls_seq49_[chr21:34291162-34291332],LMX1A_Fimo_hg19_1,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_5
controls_seq49_[chr21:34291162-34291332],PAX6_Fimo_hg19_3,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_RNAseq_cluster_2
controls_seq49_[chr21:34291162-34291332],SOX21_Fimo_ENCODE_3,Induction/activity_at_TP_6h
controls_seq49_[chr21:34291162-34291332],,Induction/activity_at_TP_0h
controls_seq49_[chr21:34291162-34291332],,Induction/activity_at_TP_12h
controls_seq49_[chr21:34291162-34291332],,Induction/activity_at_TP_3h
seq1542_[chr9:16768932-16769102],ZIC3_Fimo_ENCODE_3,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_ATACseq_cluster_3
seq1542_[chr9:16768932-16769102],OTX1_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_1
seq1542_[chr9:16768932-16769102],PRDM4_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_RNAseq_cluster_3
seq1542_[chr9:16768932-16769102],RARA_Fimo_ENCODE_8,Induction/activity_at_TP_6h
seq1542_[chr9:16768932-16769102],GLIS2_Fimo_ENCODE_1,Induction/activity_at_TP_0h
seq1542_[chr9:16768932-16769102],,Induction/activity_at_TP_12h
seq1542_[chr9:16768932-16769102],,Induction/activity_at_TP_3h
seq1714_[chr12:55457211-55457381],ZNF423_Fimo_ENCODE_2,Induction/activity_at_TP_72h
seq1714_[chr12:55457211-55457381],EP300_Fimo_ENCODE_5,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_K27ac_cluster_5
seq1714_[chr12:55457211-55457381],HHEX_Fimo_hg19_1,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_ATACseq_cluster_4
seq1714_[chr12:55457211-55457381],RXRA_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_RNAseq_cluster_4
seq1714_[chr12:55457211-55457381],E2F4_Fimo_hg19_6,Induction/activity_at_TP_48h
seq1714_[chr12:55457211-55457381],ZIC2_Fimo_ENCODE_2,
seq1714_[chr12:55457211-55457381],TFCP2L1_Fimo_ENCODE_1,
seq1714_[chr12:55457211-55457381],REST_Fimo_ENCODE_9,
seq1714_[chr12:55457211-55457381],ZIC5_Fimo_hg19_1,
seq1714_[chr12:55457211-55457381],TCF12_Fimo_ENCODE_5,
seq1429_[chr7:73509281-73509451],EP300_Fimo_ENCODE_5,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_ATACseq_cluster_2
seq1429_[chr7:73509281-73509451],BCL11B_Fimo_hg19_1,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_RNAseq_cluster_3
seq1429_[chr7:73509281-73509451],ATF3_Fimo_hg19_1,Induction/activity_at_TP_6h
seq1429_[chr7:73509281-73509451],,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_2
seq1429_[chr7:73509281-73509451],,Induction/activity_at_TP_0h
seq1429_[chr7:73509281-73509451],,Induction/activity_at_TP_12h
seq1429_[chr7:73509281-73509451],,Induction/activity_at_TP_3h
seq2266_[chr17:74117555-74117725],ZIC3_Fimo_ENCODE_3,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_RNAseq_cluster_1
seq2266_[chr17:74117555-74117725],MYC_Fimo_ENCODE_9,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_3
seq2266_[chr17:74117555-74117725],YY2_Fimo_hg19_9,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_ATACseq_cluster_2
seq2266_[chr17:74117555-74117725],MZF1_Fimo_ENCODE_1,Induction/activity_at_TP_12h
seq2266_[chr17:74117555-74117725],TFAP2_Fimo_ENCODE_4,Induction/activity_at_TP_48h
seq2266_[chr17:74117555-74117725],E2F4_Fimo_hg19_6,Induction/activity_at_TP_24h
seq2266_[chr17:74117555-74117725],TFAP2_Fimo_ENCODE_10,
seq2266_[chr17:74117555-74117725],SP8_Fimo_ENCODE_1,
seq2266_[chr17:74117555-74117725],REST_Fimo_ENCODE_8,
seq2266_[chr17:74117555-74117725],REST_Fimo_ENCODE_9,
seq2266_[chr17:74117555-74117725],TCF12_Fimo_ENCODE_5,
seq677_[chr17:37845417-37845587],SOX9_Fimo_hg19_27,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_K27ac_cluster_1
seq677_[chr17:37845417-37845587],ZNF423_Fimo_ENCODE_2,Induction/activity_at_TP_24h
seq677_[chr17:37845417-37845587],SOX10_Fimo_ENCODE_8,Induction/activity_at_TP_48h
seq677_[chr17:37845417-37845587],,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_RNAseq_cluster_2
seq677_[chr17:37845417-37845587],,Consistency/belonging_with/to_MPRA_cluster_3_that_intersect_with_ATACseq_cluster_2
seq1796_[chr16:54385386-54385556],OTX1_Fimo_ENCODE_2,Induction/activity_at_TP_72h
seq1796_[chr16:54385386-54385556],BCL11B_Fimo_hg19_1,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_K27ac_cluster_5
seq1796_[chr16:54385386-54385556],REST_Fimo_ENCODE_8,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_RNAseq_cluster_3
seq1796_[chr16:54385386-54385556],TFCP2L1_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_ATACseq_cluster_4
seq1796_[chr16:54385386-54385556],HOMEZ_Fimo_hg19_1,Induction/activity_at_TP_48h
seq732_[chr18:6752629-6752799],EP300_Fimo_ENCODE_5,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_ATACseq_cluster_3
seq732_[chr18:6752629-6752799],BCL11B_Fimo_hg19_1,Induction/activity_at_TP_12h
seq732_[chr18:6752629-6752799],SOX21_Fimo_ENCODE_3,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_1
seq732_[chr18:6752629-6752799],,Induction/activity_at_TP_6h
seq732_[chr18:6752629-6752799],,Induction/activity_at_TP_0h
seq732_[chr18:6752629-6752799],,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_RNAseq_cluster_4
seq732_[chr18:6752629-6752799],,Induction/activity_at_TP_3h
seq450_[chr13:43167231-43167401],TCF7L2_Fimo_ENCODE_4,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_RNAseq_cluster_1
seq450_[chr13:43167231-43167401],SP8_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_1
seq450_[chr13:43167231-43167401],PKNOX2_Fimo_hg19_5,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_ATACseq_cluster_1
seq450_[chr13:43167231-43167401],,Induction/activity_at_TP_12h
seq450_[chr13:43167231-43167401],,Induction/activity_at_TP_48h
seq450_[chr13:43167231-43167401],,Induction/activity_at_TP_24h
seq1263_[chr5:123210525-123210695],ZNF423_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_ATACseq_cluster_4
seq1263_[chr5:123210525-123210695],BCL11B_Fimo_hg19_1,Induction/activity_at_TP_72h
seq1263_[chr5:123210525-123210695],SP8_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_RNAseq_cluster_3
seq1263_[chr5:123210525-123210695],TFCP2L1_Fimo_ENCODE_1,pathway_hsa04340
seq1263_[chr5:123210525-123210695],REST_Fimo_ENCODE_9,Induction/activity_at_TP_48h
seq1263_[chr5:123210525-123210695],PRDM4_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_K27ac_cluster_2
seq842_[chr2:42274000-42274170],ZIC3_Fimo_ENCODE_3,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_ATACseq_cluster_4
seq842_[chr2:42274000-42274170],JUN_Fimo_hg19_11,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_4
seq842_[chr2:42274000-42274170],SOX5_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_RNAseq_cluster_4
seq842_[chr2:42274000-42274170],SOX21_Fimo_ENCODE_3,Induction/activity_at_TP_12h
seq842_[chr2:42274000-42274170],RXRA_Fimo_ENCODE_2,Induction/activity_at_TP_48h
seq842_[chr2:42274000-42274170],REST_Fimo_ENCODE_8,Induction/activity_at_TP_24h
seq842_[chr2:42274000-42274170],REST_Fimo_ENCODE_9,
seq842_[chr2:42274000-42274170],TCF12_Fimo_ENCODE_5,
seq1400_[chr7:13875076-13875246],JUN_Fimo_hg19_11,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_ATACseq_cluster_3
seq1400_[chr7:13875076-13875246],SOX2_Fimo_ENCODE_1,Induction/activity_at_TP_6h
seq1400_[chr7:13875076-13875246],POU3F1_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_RNAseq_cluster_1
seq1400_[chr7:13875076-13875246],MYC_Fimo_ENCODE_5,Induction/activity_at_TP_0h
seq1400_[chr7:13875076-13875246],SOX9_Fimo_hg19_27,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_4
seq1400_[chr7:13875076-13875246],POU3F2_Fimo_ENCODE_6,Induction/activity_at_TP_12h
seq1400_[chr7:13875076-13875246],SOX10_Fimo_ENCODE_8,Induction/activity_at_TP_3h
seq1526_[chr8:128822474-128822644],MYC_Fimo_ENCODE_9,Induction/activity_at_TP_12h
seq1526_[chr8:128822474-128822644],NFKB2_Fimo_hg19_2,pathway_hsa04310
seq1526_[chr8:128822474-128822644],ZNF423_Fimo_ENCODE_2,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_K27ac_cluster_1
seq1526_[chr8:128822474-128822644],EP300_Fimo_ENCODE_5,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_ATACseq_cluster_3
seq1526_[chr8:128822474-128822644],TFAP2_Fimo_ENCODE_4,Consistency/belonging_with/to_MPRA_cluster_2_that_intersect_with_RNAseq_cluster_2
seq1526_[chr8:128822474-128822644],TFAP2_Fimo_ENCODE_10,pathway_hsa04010
seq1526_[chr8:128822474-128822644],BCL11B_Fimo_hg19_1,Induction/activity_at_TP_48h
seq1526_[chr8:128822474-128822644],TFCP2L1_Fimo_ENCODE_1,Induction/activity_at_TP_24h
seq1526_[chr8:128822474-128822644],RXRA_Fimo_ENCODE_2,
seq1526_[chr8:128822474-128822644],REST_Fimo_ENCODE_8,
seq1526_[chr8:128822474-128822644],REST_Fimo_ENCODE_9,
seq1526_[chr8:128822474-128822644],TCF12_Fimo_ENCODE_5,
seq1526_[chr8:128822474-128822644],ZIC2_Fimo_ENCODE_2,
seq836_[chr2:37423583-37423753],SOX9_Fimo_hg19_27,Induction/activity_at_TP_72h
seq836_[chr2:37423583-37423753],USF1_Fimo_hg19_9,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_RNAseq_cluster_2
seq836_[chr2:37423583-37423753],FOXJ2_Fimo_ENCODE_1,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_ATACseq_cluster_5
seq836_[chr2:37423583-37423753],SOX10_Fimo_ENCODE_8,Induction/activity_at_TP_48h
seq836_[chr2:37423583-37423753],,Consistency/belonging_with/to_MPRA_cluster_4_that_intersect_with_K27ac_cluster_3
seq1618_[chrX:130611512-130611682],ZIC3_Fimo_ENCODE_3,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_K27ac_cluster_1
seq1618_[chrX:130611512-130611682],PAX6_Fimo_ENCODE_4,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_ATACseq_cluster_3
seq1618_[chrX:130611512-130611682],BHLHE40_Fimo_hg19_2,Consistency/belonging_with/to_MPRA_cluster_1_that_intersect_with_RNAseq_cluster_2
seq1618_[chrX:130611512-130611682],REST_Fimo_ENCODE_8,Induction/activity_at_TP_6h
seq1618_[chrX:130611512-130611682],REST_Fimo_ENCODE_9,Induction/activity_at_TP_0h
seq1618_[chrX:130611512-130611682],TCF12_Fimo_ENCODE_5,Induction/activity_at_TP_12h
seq1618_[chrX:130611512-130611682],,Induction/activity_at_TP_3h
